variant,order,rung,added,n_sources,sources,schedule,exposure,train_edges,checkpoint_step,model_prefix,model_key,logical_id,task,dataset,entry_rung,rel_to_entry,in_training,is_newcomer,metric,value,primary
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,election2020,5,-3,0,0,roc_auc,0.984216,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,election2020,5,-3,0,0,accuracy,0.974,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,election2020,5,-3,0,0,f1,0.9744597249508841,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,ukr_rus_suspended,6,-4,0,0,roc_auc,0.47898599999999997,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,ukr_rus_suspended,6,-4,0,0,accuracy,0.478,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,ukr_rus_suspended,6,-4,0,0,f1,0.46406570841889117,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,twibot20,7,-5,0,0,roc_auc,0.5967944444444445,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,twibot20,7,-5,0,0,accuracy,0.5694166666666667,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,classification,twibot20,7,-5,0,0,f1,0.5645174884112937,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,ukr_rus_twitter,1,1,1,0,auc,0.7669479591836734,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,ukr_rus_twitter,1,1,1,0,average_precision,0.7470981470043239,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,ukr_rus_twitter,1,1,1,0,hits_at_50,0.86,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,covid19_twitter,2,0,1,1,auc,0.8798551020408163,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,covid19_twitter,2,0,1,1,average_precision,0.874950301789612,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,covid19_twitter,2,0,1,1,hits_at_50,0.94,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,midterm,3,-1,0,0,auc,0.7108482142857143,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,midterm,3,-1,0,0,average_precision,0.6517392690153799,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,midterm,3,-1,0,0,hits_at_50,0.62,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,twibot20,7,-5,0,0,auc,0.8174142857142858,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,twibot20,7,-5,0,0,average_precision,0.778640743286276,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,twibot20,7,-5,0,0,hits_at_50,0.9,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,cp_hk_twitter,8,-6,0,0,auc,0.5617992346938776,1
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,cp_hk_twitter,8,-6,0,0,average_precision,0.5139752317113621,0
matched40k,A,2,covid,2,"ukr_rus,covid",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r2,matched40k_A_r2,static_lp,cp_hk_twitter,8,-6,0,0,hits_at_50,0.4,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,covid_political,4,-1,0,0,roc_auc,0.9286403749999999,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,covid_political,4,-1,0,0,accuracy,0.877,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,covid_political,4,-1,0,0,f1,0.8790758643290185,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,election2020,5,-2,0,0,roc_auc,0.985774,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,election2020,5,-2,0,0,accuracy,0.976,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,election2020,5,-2,0,0,f1,0.9764243614931237,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,ukr_rus_suspended,6,-3,0,0,roc_auc,0.502724,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,ukr_rus_suspended,6,-3,0,0,accuracy,0.503,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,ukr_rus_suspended,6,-3,0,0,f1,0.4881565396498455,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,twibot20,7,-4,0,0,roc_auc,0.5907462916666667,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,twibot20,7,-4,0,0,accuracy,0.5634166666666667,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,classification,twibot20,7,-4,0,0,f1,0.5431237464027209,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,ukr_rus_twitter,1,2,1,0,auc,0.7545926020408164,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,ukr_rus_twitter,1,2,1,0,average_precision,0.7379706524838255,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,ukr_rus_twitter,1,2,1,0,hits_at_50,0.96,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,covid19_twitter,2,1,1,0,auc,0.8810892857142857,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,covid19_twitter,2,1,1,0,average_precision,0.8763812240565372,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,covid19_twitter,2,1,1,0,hits_at_50,0.9,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,midterm,3,0,1,1,auc,0.7105086734693877,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,midterm,3,0,1,1,average_precision,0.6565189417360302,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,midterm,3,0,1,1,hits_at_50,0.64,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,twibot20,7,-4,0,0,auc,0.815968112244898,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,twibot20,7,-4,0,0,average_precision,0.7757831902643414,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,twibot20,7,-4,0,0,hits_at_50,0.86,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,cp_hk_twitter,8,-5,0,0,auc,0.5607147959183674,1
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,cp_hk_twitter,8,-5,0,0,average_precision,0.5139877463897783,0
matched40k,A,3,midterm,3,"ukr_rus,covid,midterm",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r3,matched40k_A_r3,static_lp,cp_hk_twitter,8,-5,0,0,hits_at_50,0.28,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,covid_political,4,0,1,1,roc_auc,0.9109949305555556,1
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,covid_political,4,0,1,1,accuracy,0.8350833333333333,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,covid_political,4,0,1,1,f1,0.8461956944120619,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,election2020,5,-1,0,0,roc_auc,0.983584,1
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,election2020,5,-1,0,0,accuracy,0.97,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,election2020,5,-1,0,0,f1,0.9705304518664047,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,ukr_rus_suspended,6,-2,0,0,roc_auc,0.48990999999999996,1
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,ukr_rus_suspended,6,-2,0,0,accuracy,0.494,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,ukr_rus_suspended,6,-2,0,0,f1,0.4847250509164969,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,twibot20,7,-3,0,0,roc_auc,0.6206157361111111,1
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,twibot20,7,-3,0,0,accuracy,0.5905,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,classification,twibot20,7,-3,0,0,f1,0.586293988887018,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,static_lp,ukr_rus_twitter,1,3,1,0,auc,0.747455612244898,1
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,static_lp,ukr_rus_twitter,1,3,1,0,average_precision,0.7449114947941049,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,static_lp,ukr_rus_twitter,1,3,1,0,hits_at_50,0.96,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,static_lp,covid19_twitter,2,2,1,0,auc,0.8635744897959183,1
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,static_lp,covid19_twitter,2,2,1,0,average_precision,0.8700185095098674,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,static_lp,covid19_twitter,2,2,1,0,hits_at_50,0.94,0
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,static_lp,midterm,3,1,1,0,auc,0.7270285714285715,1
matched40k,A,4,covid_political,4,"ukr_rus,covid,midterm,covid_political",interleaved,matched_total_40k,full_adjacency,40000,nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r4,matched40k_A_r4,static_lp,midterm,3,1,1,0,average_precision,0.6997233828421949,0
