target	target_code	target_dataset	mixture_size	donor_codes	donors	prefix
twibot20	bot	twibot20	2	cov,elec	covid,election2020	mixdiv2k_k2_cov-elec
covid_political	cp	covid_political	2	cov,susp	covid,ukr_rus_suspended	mixdiv2k_k2_cov-susp
election2020	elec	election2020	2	cov,susp	covid,ukr_rus_suspended	mixdiv2k_k2_cov-susp
twibot20	bot	twibot20	2	cov,susp	covid,ukr_rus_suspended	mixdiv2k_k2_cov-susp
covid_political	cp	covid_political	2	cov,bot	covid,twibot20	mixdiv2k_k2_cov-bot
election2020	elec	election2020	2	cov,bot	covid,twibot20	mixdiv2k_k2_cov-bot
ukr_rus_suspended	susp	ukr_rus_suspended	2	cov,bot	covid,twibot20	mixdiv2k_k2_cov-bot
covid_political	cp	covid_political	2	cov,hk	covid,cp_hk	mixdiv2k_k2_cov-hk
election2020	elec	election2020	2	cov,hk	covid,cp_hk	mixdiv2k_k2_cov-hk
ukr_rus_suspended	susp	ukr_rus_suspended	2	cov,hk	covid,cp_hk	mixdiv2k_k2_cov-hk
twibot20	bot	twibot20	2	cov,hk	covid,cp_hk	mixdiv2k_k2_cov-hk
election2020	elec	election2020	2	mid,cp	midterm,covid_political	mixdiv2k_k2_mid-cp
ukr_rus_suspended	susp	ukr_rus_suspended	2	mid,cp	midterm,covid_political	mixdiv2k_k2_mid-cp
twibot20	bot	twibot20	2	mid,cp	midterm,covid_political	mixdiv2k_k2_mid-cp
covid_political	cp	covid_political	2	mid,elec	midterm,election2020	mixdiv2k_k2_mid-elec
ukr_rus_suspended	susp	ukr_rus_suspended	2	mid,elec	midterm,election2020	mixdiv2k_k2_mid-elec
twibot20	bot	twibot20	2	mid,elec	midterm,election2020	mixdiv2k_k2_mid-elec
covid_political	cp	covid_political	2	mid,susp	midterm,ukr_rus_suspended	mixdiv2k_k2_mid-susp
election2020	elec	election2020	2	mid,susp	midterm,ukr_rus_suspended	mixdiv2k_k2_mid-susp
twibot20	bot	twibot20	2	mid,susp	midterm,ukr_rus_suspended	mixdiv2k_k2_mid-susp
covid_political	cp	covid_political	2	mid,bot	midterm,twibot20	mixdiv2k_k2_mid-bot
election2020	elec	election2020	2	mid,bot	midterm,twibot20	mixdiv2k_k2_mid-bot
ukr_rus_suspended	susp	ukr_rus_suspended	2	mid,bot	midterm,twibot20	mixdiv2k_k2_mid-bot
covid_political	cp	covid_political	2	mid,hk	midterm,cp_hk	mixdiv2k_k2_mid-hk
election2020	elec	election2020	2	mid,hk	midterm,cp_hk	mixdiv2k_k2_mid-hk
ukr_rus_suspended	susp	ukr_rus_suspended	2	mid,hk	midterm,cp_hk	mixdiv2k_k2_mid-hk
twibot20	bot	twibot20	2	mid,hk	midterm,cp_hk	mixdiv2k_k2_mid-hk
ukr_rus_suspended	susp	ukr_rus_suspended	2	cp,elec	covid_political,election2020	mixdiv2k_k2_cp-elec
twibot20	bot	twibot20	2	cp,elec	covid_political,election2020	mixdiv2k_k2_cp-elec
election2020	elec	election2020	2	cp,susp	covid_political,ukr_rus_suspended	mixdiv2k_k2_cp-susp
twibot20	bot	twibot20	2	cp,susp	covid_political,ukr_rus_suspended	mixdiv2k_k2_cp-susp
election2020	elec	election2020	2	cp,bot	covid_political,twibot20	mixdiv2k_k2_cp-bot
ukr_rus_suspended	susp	ukr_rus_suspended	2	cp,bot	covid_political,twibot20	mixdiv2k_k2_cp-bot
election2020	elec	election2020	2	cp,hk	covid_political,cp_hk	mixdiv2k_k2_cp-hk
ukr_rus_suspended	susp	ukr_rus_suspended	2	cp,hk	covid_political,cp_hk	mixdiv2k_k2_cp-hk
twibot20	bot	twibot20	2	cp,hk	covid_political,cp_hk	mixdiv2k_k2_cp-hk
covid_political	cp	covid_political	2	elec,susp	election2020,ukr_rus_suspended	mixdiv2k_k2_elec-susp
twibot20	bot	twibot20	2	elec,susp	election2020,ukr_rus_suspended	mixdiv2k_k2_elec-susp
covid_political	cp	covid_political	2	elec,bot	election2020,twibot20	mixdiv2k_k2_elec-bot
ukr_rus_suspended	susp	ukr_rus_suspended	2	elec,bot	election2020,twibot20	mixdiv2k_k2_elec-bot
covid_political	cp	covid_political	2	elec,hk	election2020,cp_hk	mixdiv2k_k2_elec-hk
ukr_rus_suspended	susp	ukr_rus_suspended	2	elec,hk	election2020,cp_hk	mixdiv2k_k2_elec-hk
twibot20	bot	twibot20	2	elec,hk	election2020,cp_hk	mixdiv2k_k2_elec-hk
covid_political	cp	covid_political	2	susp,bot	ukr_rus_suspended,twibot20	mixdiv2k_k2_susp-bot
election2020	elec	election2020	2	susp,bot	ukr_rus_suspended,twibot20	mixdiv2k_k2_susp-bot
covid_political	cp	covid_political	2	susp,hk	ukr_rus_suspended,cp_hk	mixdiv2k_k2_susp-hk
election2020	elec	election2020	2	susp,hk	ukr_rus_suspended,cp_hk	mixdiv2k_k2_susp-hk
twibot20	bot	twibot20	2	susp,hk	ukr_rus_suspended,cp_hk	mixdiv2k_k2_susp-hk
covid_political	cp	covid_political	2	bot,hk	twibot20,cp_hk	mixdiv2k_k2_bot-hk
election2020	elec	election2020	2	bot,hk	twibot20,cp_hk	mixdiv2k_k2_bot-hk
ukr_rus_suspended	susp	ukr_rus_suspended	2	bot,hk	twibot20,cp_hk	mixdiv2k_k2_bot-hk
covid_political	cp	covid_political	3	ukr,cov,mid	ukr_rus,covid,midterm	mixdiv2k_k3_ukr-cov-mid
election2020	elec	election2020	3	ukr,cov,mid	ukr_rus,covid,midterm	mixdiv2k_k3_ukr-cov-mid
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,cov,mid	ukr_rus,covid,midterm	mixdiv2k_k3_ukr-cov-mid
twibot20	bot	twibot20	3	ukr,cov,mid	ukr_rus,covid,midterm	mixdiv2k_k3_ukr-cov-mid
election2020	elec	election2020	3	ukr,cov,cp	ukr_rus,covid,covid_political	mixdiv2k_k3_ukr-cov-cp
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,cov,cp	ukr_rus,covid,covid_political	mixdiv2k_k3_ukr-cov-cp
twibot20	bot	twibot20	3	ukr,cov,cp	ukr_rus,covid,covid_political	mixdiv2k_k3_ukr-cov-cp
covid_political	cp	covid_political	3	ukr,cov,elec	ukr_rus,covid,election2020	mixdiv2k_k3_ukr-cov-elec
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,cov,elec	ukr_rus,covid,election2020	mixdiv2k_k3_ukr-cov-elec
twibot20	bot	twibot20	3	ukr,cov,elec	ukr_rus,covid,election2020	mixdiv2k_k3_ukr-cov-elec
covid_political	cp	covid_political	3	ukr,cov,susp	ukr_rus,covid,ukr_rus_suspended	mixdiv2k_k3_ukr-cov-susp
election2020	elec	election2020	3	ukr,cov,susp	ukr_rus,covid,ukr_rus_suspended	mixdiv2k_k3_ukr-cov-susp
twibot20	bot	twibot20	3	ukr,cov,susp	ukr_rus,covid,ukr_rus_suspended	mixdiv2k_k3_ukr-cov-susp
covid_political	cp	covid_political	3	ukr,cov,bot	ukr_rus,covid,twibot20	mixdiv2k_k3_ukr-cov-bot
election2020	elec	election2020	3	ukr,cov,bot	ukr_rus,covid,twibot20	mixdiv2k_k3_ukr-cov-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,cov,bot	ukr_rus,covid,twibot20	mixdiv2k_k3_ukr-cov-bot
covid_political	cp	covid_political	3	ukr,cov,hk	ukr_rus,covid,cp_hk	mixdiv2k_k3_ukr-cov-hk
election2020	elec	election2020	3	ukr,cov,hk	ukr_rus,covid,cp_hk	mixdiv2k_k3_ukr-cov-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,cov,hk	ukr_rus,covid,cp_hk	mixdiv2k_k3_ukr-cov-hk
twibot20	bot	twibot20	3	ukr,cov,hk	ukr_rus,covid,cp_hk	mixdiv2k_k3_ukr-cov-hk
election2020	elec	election2020	3	ukr,mid,cp	ukr_rus,midterm,covid_political	mixdiv2k_k3_ukr-mid-cp
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,mid,cp	ukr_rus,midterm,covid_political	mixdiv2k_k3_ukr-mid-cp
twibot20	bot	twibot20	3	ukr,mid,cp	ukr_rus,midterm,covid_political	mixdiv2k_k3_ukr-mid-cp
covid_political	cp	covid_political	3	ukr,mid,elec	ukr_rus,midterm,election2020	mixdiv2k_k3_ukr-mid-elec
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,mid,elec	ukr_rus,midterm,election2020	mixdiv2k_k3_ukr-mid-elec
twibot20	bot	twibot20	3	ukr,mid,elec	ukr_rus,midterm,election2020	mixdiv2k_k3_ukr-mid-elec
covid_political	cp	covid_political	3	ukr,mid,susp	ukr_rus,midterm,ukr_rus_suspended	mixdiv2k_k3_ukr-mid-susp
election2020	elec	election2020	3	ukr,mid,susp	ukr_rus,midterm,ukr_rus_suspended	mixdiv2k_k3_ukr-mid-susp
twibot20	bot	twibot20	3	ukr,mid,susp	ukr_rus,midterm,ukr_rus_suspended	mixdiv2k_k3_ukr-mid-susp
covid_political	cp	covid_political	3	ukr,mid,bot	ukr_rus,midterm,twibot20	mixdiv2k_k3_ukr-mid-bot
election2020	elec	election2020	3	ukr,mid,bot	ukr_rus,midterm,twibot20	mixdiv2k_k3_ukr-mid-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,mid,bot	ukr_rus,midterm,twibot20	mixdiv2k_k3_ukr-mid-bot
covid_political	cp	covid_political	3	ukr,mid,hk	ukr_rus,midterm,cp_hk	mixdiv2k_k3_ukr-mid-hk
election2020	elec	election2020	3	ukr,mid,hk	ukr_rus,midterm,cp_hk	mixdiv2k_k3_ukr-mid-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,mid,hk	ukr_rus,midterm,cp_hk	mixdiv2k_k3_ukr-mid-hk
twibot20	bot	twibot20	3	ukr,mid,hk	ukr_rus,midterm,cp_hk	mixdiv2k_k3_ukr-mid-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,cp,elec	ukr_rus,covid_political,election2020	mixdiv2k_k3_ukr-cp-elec
twibot20	bot	twibot20	3	ukr,cp,elec	ukr_rus,covid_political,election2020	mixdiv2k_k3_ukr-cp-elec
election2020	elec	election2020	3	ukr,cp,susp	ukr_rus,covid_political,ukr_rus_suspended	mixdiv2k_k3_ukr-cp-susp
twibot20	bot	twibot20	3	ukr,cp,susp	ukr_rus,covid_political,ukr_rus_suspended	mixdiv2k_k3_ukr-cp-susp
election2020	elec	election2020	3	ukr,cp,bot	ukr_rus,covid_political,twibot20	mixdiv2k_k3_ukr-cp-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,cp,bot	ukr_rus,covid_political,twibot20	mixdiv2k_k3_ukr-cp-bot
election2020	elec	election2020	3	ukr,cp,hk	ukr_rus,covid_political,cp_hk	mixdiv2k_k3_ukr-cp-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,cp,hk	ukr_rus,covid_political,cp_hk	mixdiv2k_k3_ukr-cp-hk
twibot20	bot	twibot20	3	ukr,cp,hk	ukr_rus,covid_political,cp_hk	mixdiv2k_k3_ukr-cp-hk
covid_political	cp	covid_political	3	ukr,elec,susp	ukr_rus,election2020,ukr_rus_suspended	mixdiv2k_k3_ukr-elec-susp
twibot20	bot	twibot20	3	ukr,elec,susp	ukr_rus,election2020,ukr_rus_suspended	mixdiv2k_k3_ukr-elec-susp
covid_political	cp	covid_political	3	ukr,elec,bot	ukr_rus,election2020,twibot20	mixdiv2k_k3_ukr-elec-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,elec,bot	ukr_rus,election2020,twibot20	mixdiv2k_k3_ukr-elec-bot
covid_political	cp	covid_political	3	ukr,elec,hk	ukr_rus,election2020,cp_hk	mixdiv2k_k3_ukr-elec-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,elec,hk	ukr_rus,election2020,cp_hk	mixdiv2k_k3_ukr-elec-hk
twibot20	bot	twibot20	3	ukr,elec,hk	ukr_rus,election2020,cp_hk	mixdiv2k_k3_ukr-elec-hk
covid_political	cp	covid_political	3	ukr,susp,bot	ukr_rus,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-susp-bot
election2020	elec	election2020	3	ukr,susp,bot	ukr_rus,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-susp-bot
covid_political	cp	covid_political	3	ukr,susp,hk	ukr_rus,ukr_rus_suspended,cp_hk	mixdiv2k_k3_ukr-susp-hk
election2020	elec	election2020	3	ukr,susp,hk	ukr_rus,ukr_rus_suspended,cp_hk	mixdiv2k_k3_ukr-susp-hk
twibot20	bot	twibot20	3	ukr,susp,hk	ukr_rus,ukr_rus_suspended,cp_hk	mixdiv2k_k3_ukr-susp-hk
covid_political	cp	covid_political	3	ukr,bot,hk	ukr_rus,twibot20,cp_hk	mixdiv2k_k3_ukr-bot-hk
election2020	elec	election2020	3	ukr,bot,hk	ukr_rus,twibot20,cp_hk	mixdiv2k_k3_ukr-bot-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	ukr,bot,hk	ukr_rus,twibot20,cp_hk	mixdiv2k_k3_ukr-bot-hk
election2020	elec	election2020	3	cov,mid,cp	covid,midterm,covid_political	mixdiv2k_k3_cov-mid-cp
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,mid,cp	covid,midterm,covid_political	mixdiv2k_k3_cov-mid-cp
twibot20	bot	twibot20	3	cov,mid,cp	covid,midterm,covid_political	mixdiv2k_k3_cov-mid-cp
covid_political	cp	covid_political	3	cov,mid,elec	covid,midterm,election2020	mixdiv2k_k3_cov-mid-elec
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,mid,elec	covid,midterm,election2020	mixdiv2k_k3_cov-mid-elec
twibot20	bot	twibot20	3	cov,mid,elec	covid,midterm,election2020	mixdiv2k_k3_cov-mid-elec
covid_political	cp	covid_political	3	cov,mid,susp	covid,midterm,ukr_rus_suspended	mixdiv2k_k3_cov-mid-susp
election2020	elec	election2020	3	cov,mid,susp	covid,midterm,ukr_rus_suspended	mixdiv2k_k3_cov-mid-susp
twibot20	bot	twibot20	3	cov,mid,susp	covid,midterm,ukr_rus_suspended	mixdiv2k_k3_cov-mid-susp
covid_political	cp	covid_political	3	cov,mid,bot	covid,midterm,twibot20	mixdiv2k_k3_cov-mid-bot
election2020	elec	election2020	3	cov,mid,bot	covid,midterm,twibot20	mixdiv2k_k3_cov-mid-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,mid,bot	covid,midterm,twibot20	mixdiv2k_k3_cov-mid-bot
covid_political	cp	covid_political	3	cov,mid,hk	covid,midterm,cp_hk	mixdiv2k_k3_cov-mid-hk
election2020	elec	election2020	3	cov,mid,hk	covid,midterm,cp_hk	mixdiv2k_k3_cov-mid-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,mid,hk	covid,midterm,cp_hk	mixdiv2k_k3_cov-mid-hk
twibot20	bot	twibot20	3	cov,mid,hk	covid,midterm,cp_hk	mixdiv2k_k3_cov-mid-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,cp,elec	covid,covid_political,election2020	mixdiv2k_k3_cov-cp-elec
twibot20	bot	twibot20	3	cov,cp,elec	covid,covid_political,election2020	mixdiv2k_k3_cov-cp-elec
election2020	elec	election2020	3	cov,cp,susp	covid,covid_political,ukr_rus_suspended	mixdiv2k_k3_cov-cp-susp
twibot20	bot	twibot20	3	cov,cp,susp	covid,covid_political,ukr_rus_suspended	mixdiv2k_k3_cov-cp-susp
election2020	elec	election2020	3	cov,cp,bot	covid,covid_political,twibot20	mixdiv2k_k3_cov-cp-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,cp,bot	covid,covid_political,twibot20	mixdiv2k_k3_cov-cp-bot
election2020	elec	election2020	3	cov,cp,hk	covid,covid_political,cp_hk	mixdiv2k_k3_cov-cp-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,cp,hk	covid,covid_political,cp_hk	mixdiv2k_k3_cov-cp-hk
twibot20	bot	twibot20	3	cov,cp,hk	covid,covid_political,cp_hk	mixdiv2k_k3_cov-cp-hk
covid_political	cp	covid_political	3	cov,elec,susp	covid,election2020,ukr_rus_suspended	mixdiv2k_k3_cov-elec-susp
twibot20	bot	twibot20	3	cov,elec,susp	covid,election2020,ukr_rus_suspended	mixdiv2k_k3_cov-elec-susp
covid_political	cp	covid_political	3	cov,elec,bot	covid,election2020,twibot20	mixdiv2k_k3_cov-elec-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,elec,bot	covid,election2020,twibot20	mixdiv2k_k3_cov-elec-bot
covid_political	cp	covid_political	3	cov,elec,hk	covid,election2020,cp_hk	mixdiv2k_k3_cov-elec-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,elec,hk	covid,election2020,cp_hk	mixdiv2k_k3_cov-elec-hk
twibot20	bot	twibot20	3	cov,elec,hk	covid,election2020,cp_hk	mixdiv2k_k3_cov-elec-hk
covid_political	cp	covid_political	3	cov,susp,bot	covid,ukr_rus_suspended,twibot20	mixdiv2k_k3_cov-susp-bot
election2020	elec	election2020	3	cov,susp,bot	covid,ukr_rus_suspended,twibot20	mixdiv2k_k3_cov-susp-bot
covid_political	cp	covid_political	3	cov,susp,hk	covid,ukr_rus_suspended,cp_hk	mixdiv2k_k3_cov-susp-hk
election2020	elec	election2020	3	cov,susp,hk	covid,ukr_rus_suspended,cp_hk	mixdiv2k_k3_cov-susp-hk
twibot20	bot	twibot20	3	cov,susp,hk	covid,ukr_rus_suspended,cp_hk	mixdiv2k_k3_cov-susp-hk
covid_political	cp	covid_political	3	cov,bot,hk	covid,twibot20,cp_hk	mixdiv2k_k3_cov-bot-hk
election2020	elec	election2020	3	cov,bot,hk	covid,twibot20,cp_hk	mixdiv2k_k3_cov-bot-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	cov,bot,hk	covid,twibot20,cp_hk	mixdiv2k_k3_cov-bot-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	mid,cp,elec	midterm,covid_political,election2020	mixdiv2k_k3_mid-cp-elec
twibot20	bot	twibot20	3	mid,cp,elec	midterm,covid_political,election2020	mixdiv2k_k3_mid-cp-elec
election2020	elec	election2020	3	mid,cp,susp	midterm,covid_political,ukr_rus_suspended	mixdiv2k_k3_mid-cp-susp
twibot20	bot	twibot20	3	mid,cp,susp	midterm,covid_political,ukr_rus_suspended	mixdiv2k_k3_mid-cp-susp
election2020	elec	election2020	3	mid,cp,bot	midterm,covid_political,twibot20	mixdiv2k_k3_mid-cp-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	mid,cp,bot	midterm,covid_political,twibot20	mixdiv2k_k3_mid-cp-bot
election2020	elec	election2020	3	mid,cp,hk	midterm,covid_political,cp_hk	mixdiv2k_k3_mid-cp-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	mid,cp,hk	midterm,covid_political,cp_hk	mixdiv2k_k3_mid-cp-hk
twibot20	bot	twibot20	3	mid,cp,hk	midterm,covid_political,cp_hk	mixdiv2k_k3_mid-cp-hk
covid_political	cp	covid_political	3	mid,elec,susp	midterm,election2020,ukr_rus_suspended	mixdiv2k_k3_mid-elec-susp
twibot20	bot	twibot20	3	mid,elec,susp	midterm,election2020,ukr_rus_suspended	mixdiv2k_k3_mid-elec-susp
covid_political	cp	covid_political	3	mid,elec,bot	midterm,election2020,twibot20	mixdiv2k_k3_mid-elec-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	mid,elec,bot	midterm,election2020,twibot20	mixdiv2k_k3_mid-elec-bot
covid_political	cp	covid_political	3	mid,elec,hk	midterm,election2020,cp_hk	mixdiv2k_k3_mid-elec-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	mid,elec,hk	midterm,election2020,cp_hk	mixdiv2k_k3_mid-elec-hk
twibot20	bot	twibot20	3	mid,elec,hk	midterm,election2020,cp_hk	mixdiv2k_k3_mid-elec-hk
covid_political	cp	covid_political	3	mid,susp,bot	midterm,ukr_rus_suspended,twibot20	mixdiv2k_k3_mid-susp-bot
election2020	elec	election2020	3	mid,susp,bot	midterm,ukr_rus_suspended,twibot20	mixdiv2k_k3_mid-susp-bot
covid_political	cp	covid_political	3	mid,susp,hk	midterm,ukr_rus_suspended,cp_hk	mixdiv2k_k3_mid-susp-hk
election2020	elec	election2020	3	mid,susp,hk	midterm,ukr_rus_suspended,cp_hk	mixdiv2k_k3_mid-susp-hk
twibot20	bot	twibot20	3	mid,susp,hk	midterm,ukr_rus_suspended,cp_hk	mixdiv2k_k3_mid-susp-hk
covid_political	cp	covid_political	3	mid,bot,hk	midterm,twibot20,cp_hk	mixdiv2k_k3_mid-bot-hk
election2020	elec	election2020	3	mid,bot,hk	midterm,twibot20,cp_hk	mixdiv2k_k3_mid-bot-hk
ukr_rus_suspended	susp	ukr_rus_suspended	3	mid,bot,hk	midterm,twibot20,cp_hk	mixdiv2k_k3_mid-bot-hk
twibot20	bot	twibot20	3	cp,elec,susp	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k3_cp-elec-susp
ukr_rus_suspended	susp	ukr_rus_suspended	3	cp,elec,bot	covid_political,election2020,twibot20	mixdiv2k_k3_cp-elec-bot
ukr_rus_suspended	susp	ukr_rus_suspended	3	cp,elec,hk	covid_political,election2020,cp_hk	mixdiv2k_k3_cp-elec-hk
twibot20	bot	twibot20	3	cp,elec,hk	covid_political,election2020,cp_hk	mixdiv2k_k3_cp-elec-hk
election2020	elec	election2020	3	cp,susp,bot	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k3_cp-susp-bot
election2020	elec	election2020	3	cp,susp,hk	covid_political,ukr_rus_suspended,cp_hk	mixdiv2k_k3_cp-susp-hk
twibot20	bot	twibot20	3	cp,susp,hk	covid_political,ukr_rus_suspended,cp_hk	mixdiv2k_k3_cp-susp-hk
election2020	elec	election2020	3	cp,bot,hk	covid_political,twibot20,cp_hk	mixdiv2k_k3_cp-bot-hk
