training_steps,target,added_donor,base_donors,expanded_donors,roc_auc_delta
500,covid_political,ukr_rus_suspended,"election2020,facebook_page_reference","election2020,facebook_page_reference,ukr_rus_suspended",0.09409320370370389
500,covid_political,ukr_rus_suspended,"election2020,twibot20","election2020,twibot20,ukr_rus_suspended",0.009449185185185227
500,covid_political,ukr_rus_suspended,"facebook_page_reference,twibot20","facebook_page_reference,twibot20,ukr_rus_suspended",-0.03142411111111121
500,covid_political,ukr_rus_suspended,"election2020,facebook_page_reference,twibot20","election2020,facebook_page_reference,twibot20,ukr_rus_suspended",0.08143207407407416
500,election2020,covid_political,facebook_page_reference,"covid_political,facebook_page_reference",0.00014999999999976144
500,election2020,covid_political,ukr_rus_suspended,"covid_political,ukr_rus_suspended",-0.004730000000000123
500,election2020,covid_political,twibot20,"covid_political,twibot20",-6.4000000000064e-05
500,election2020,covid_political,"facebook_page_reference,ukr_rus_suspended","covid_political,facebook_page_reference,ukr_rus_suspended",0.0047360000000000735
500,election2020,covid_political,"facebook_page_reference,twibot20","covid_political,facebook_page_reference,twibot20",-0.0014119999999999688
500,election2020,covid_political,"twibot20,ukr_rus_suspended","covid_political,twibot20,ukr_rus_suspended",-0.004486000000000101
500,election2020,covid_political,"facebook_page_reference,twibot20,ukr_rus_suspended","covid_political,facebook_page_reference,twibot20,ukr_rus_suspended",-0.0030520000000000547
500,election2020,facebook_page_reference,covid_political,"covid_political,facebook_page_reference",0.0005779999999998564
500,election2020,facebook_page_reference,ukr_rus_suspended,"facebook_page_reference,ukr_rus_suspended",-0.00907200000000008
500,election2020,facebook_page_reference,twibot20,"facebook_page_reference,twibot20",0.0020160000000000178
500,election2020,facebook_page_reference,"covid_political,ukr_rus_suspended","covid_political,facebook_page_reference,ukr_rus_suspended",0.0003940000000001165
500,election2020,facebook_page_reference,"covid_political,twibot20","covid_political,facebook_page_reference,twibot20",0.000668000000000113
500,election2020,facebook_page_reference,"twibot20,ukr_rus_suspended","facebook_page_reference,twibot20,ukr_rus_suspended",-0.0011360000000000259
500,election2020,facebook_page_reference,"covid_political,twibot20,ukr_rus_suspended","covid_political,facebook_page_reference,twibot20,ukr_rus_suspended",0.00029800000000002047
500,election2020,twibot20,covid_political,"covid_political,twibot20",0.0009679999999998579
500,election2020,twibot20,facebook_page_reference,"facebook_page_reference,twibot20",0.0026199999999998447
500,election2020,twibot20,ukr_rus_suspended,"twibot20,ukr_rus_suspended",-0.0011520000000000419
500,election2020,twibot20,"covid_political,facebook_page_reference","covid_political,facebook_page_reference,twibot20",0.0010580000000001144
500,election2020,twibot20,"covid_political,ukr_rus_suspended","covid_political,twibot20,ukr_rus_suspended",-0.0009080000000000199
500,election2020,twibot20,"facebook_page_reference,ukr_rus_suspended","facebook_page_reference,twibot20,ukr_rus_suspended",0.006784000000000012
500,election2020,twibot20,"covid_political,facebook_page_reference,ukr_rus_suspended","covid_political,facebook_page_reference,twibot20,ukr_rus_suspended",-0.001004000000000116
500,election2020,ukr_rus_suspended,covid_political,"covid_political,ukr_rus_suspended",0.0008299999999998864
500,election2020,ukr_rus_suspended,facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",-0.003940000000000166
500,election2020,ukr_rus_suspended,twibot20,"twibot20,ukr_rus_suspended",0.0033760000000000456
500,election2020,ukr_rus_suspended,"covid_political,facebook_page_reference","covid_political,facebook_page_reference,ukr_rus_suspended",0.0006460000000001465
500,election2020,ukr_rus_suspended,"covid_political,twibot20","covid_political,twibot20,ukr_rus_suspended",-0.0010459999999999914
500,election2020,ukr_rus_suspended,"facebook_page_reference,twibot20","facebook_page_reference,twibot20,ukr_rus_suspended",0.00022400000000000198
500,election2020,ukr_rus_suspended,"covid_political,facebook_page_reference,twibot20","covid_political,facebook_page_reference,twibot20,ukr_rus_suspended",-0.0014160000000000839
500,facebook_page_reference,covid_political,election2020,"covid_political,election2020",0.0037381249999998145
500,facebook_page_reference,covid_political,ukr_rus_suspended,"covid_political,ukr_rus_suspended",-0.03256300000000001
500,facebook_page_reference,covid_political,twibot20,"covid_political,twibot20",-0.0033061249999999376
500,facebook_page_reference,covid_political,"election2020,ukr_rus_suspended","covid_political,election2020,ukr_rus_suspended",0.037443374999999945
500,facebook_page_reference,covid_political,"election2020,twibot20","covid_political,election2020,twibot20",-0.011388249999999989
500,facebook_page_reference,covid_political,"twibot20,ukr_rus_suspended","covid_political,twibot20,ukr_rus_suspended",-0.020426125000000073
500,facebook_page_reference,covid_political,"election2020,twibot20,ukr_rus_suspended","covid_political,election2020,twibot20,ukr_rus_suspended",-0.012660999999999922
500,facebook_page_reference,election2020,covid_political,"covid_political,election2020",-0.044131250000000066
500,facebook_page_reference,election2020,ukr_rus_suspended,"election2020,ukr_rus_suspended",-0.048431749999999996
500,facebook_page_reference,election2020,twibot20,"election2020,twibot20",-0.002286249999999934
500,facebook_page_reference,election2020,"covid_political,ukr_rus_suspended","covid_political,election2020,ukr_rus_suspended",0.02157462499999996
500,facebook_page_reference,election2020,"covid_political,twibot20","covid_political,election2020,twibot20",-0.010368374999999985
500,facebook_page_reference,election2020,"twibot20,ukr_rus_suspended","election2020,twibot20,ukr_rus_suspended",-0.016654250000000093
500,facebook_page_reference,election2020,"covid_political,twibot20,ukr_rus_suspended","covid_political,election2020,twibot20,ukr_rus_suspended",-0.008889124999999942
500,facebook_page_reference,twibot20,covid_political,"covid_political,twibot20",0.04118537499999997
500,facebook_page_reference,twibot20,election2020,"election2020,twibot20",0.09007462499999985
500,facebook_page_reference,twibot20,ukr_rus_suspended,"twibot20,ukr_rus_suspended",0.066838375
500,facebook_page_reference,twibot20,"covid_political,election2020","covid_political,election2020,twibot20",0.07494825000000005
500,facebook_page_reference,twibot20,"covid_political,ukr_rus_suspended","covid_political,twibot20,ukr_rus_suspended",0.07897524999999994
500,facebook_page_reference,twibot20,"election2020,ukr_rus_suspended","election2020,twibot20,ukr_rus_suspended",0.09861587499999991
500,facebook_page_reference,twibot20,"covid_political,election2020,ukr_rus_suspended","covid_political,election2020,twibot20,ukr_rus_suspended",0.04851150000000004
500,facebook_page_reference,ukr_rus_suspended,covid_political,"covid_political,ukr_rus_suspended",-0.08320574999999997
500,facebook_page_reference,ukr_rus_suspended,election2020,"election2020,ukr_rus_suspended",-0.051205125000000073
500,facebook_page_reference,ukr_rus_suspended,twibot20,"twibot20,ukr_rus_suspended",-0.02829587499999986
500,facebook_page_reference,ukr_rus_suspended,"covid_political,election2020","covid_political,election2020,ukr_rus_suspended",-0.017499874999999943
500,facebook_page_reference,ukr_rus_suspended,"covid_political,twibot20","covid_political,twibot20,ukr_rus_suspended",-0.045415874999999994
500,facebook_page_reference,ukr_rus_suspended,"election2020,twibot20","election2020,twibot20,ukr_rus_suspended",-0.04266387500000002
500,facebook_page_reference,ukr_rus_suspended,"covid_political,election2020,twibot20","covid_political,election2020,twibot20,ukr_rus_suspended",-0.04393662499999995
500,ukr_rus_suspended,covid_political,election2020,"covid_political,election2020",-0.028620000000000034
500,ukr_rus_suspended,covid_political,facebook_page_reference,"covid_political,facebook_page_reference",-0.009692000000000034
500,ukr_rus_suspended,covid_political,twibot20,"covid_political,twibot20",0.0007360000000000699
500,ukr_rus_suspended,covid_political,"election2020,facebook_page_reference","covid_political,election2020,facebook_page_reference",-0.009927999999999992
500,ukr_rus_suspended,covid_political,"election2020,twibot20","covid_political,election2020,twibot20",0.014437999999999951
500,ukr_rus_suspended,covid_political,"facebook_page_reference,twibot20","covid_political,facebook_page_reference,twibot20",-0.013332000000000066
500,ukr_rus_suspended,covid_political,"election2020,facebook_page_reference,twibot20","covid_political,election2020,facebook_page_reference,twibot20",-0.007596000000000047
500,ukr_rus_suspended,election2020,covid_political,"covid_political,election2020",-0.015128000000000086
500,ukr_rus_suspended,election2020,facebook_page_reference,"election2020,facebook_page_reference",0.016477999999999993
500,ukr_rus_suspended,election2020,twibot20,"election2020,twibot20",-0.016737999999999864
500,ukr_rus_suspended,election2020,"covid_political,facebook_page_reference","covid_political,election2020,facebook_page_reference",0.016242000000000034
500,ukr_rus_suspended,election2020,"covid_political,twibot20","covid_political,election2020,twibot20",-0.003035999999999983
500,ukr_rus_suspended,election2020,"facebook_page_reference,twibot20","election2020,facebook_page_reference,twibot20",-0.010519999999999974
500,ukr_rus_suspended,election2020,"covid_political,facebook_page_reference,twibot20","covid_political,election2020,facebook_page_reference,twibot20",-0.004783999999999955
500,ukr_rus_suspended,facebook_page_reference,covid_political,"covid_political,facebook_page_reference",-0.02719400000000005
500,ukr_rus_suspended,facebook_page_reference,election2020,"election2020,facebook_page_reference",-0.014515999999999973
500,ukr_rus_suspended,facebook_page_reference,twibot20,"facebook_page_reference,twibot20",0.01020600000000016
500,ukr_rus_suspended,facebook_page_reference,"covid_political,election2020","covid_political,election2020,facebook_page_reference",0.0041760000000000685
500,ukr_rus_suspended,facebook_page_reference,"covid_political,twibot20","covid_political,facebook_page_reference,twibot20",-0.0038619999999999766
500,ukr_rus_suspended,facebook_page_reference,"election2020,twibot20","election2020,facebook_page_reference,twibot20",0.01642400000000005
500,ukr_rus_suspended,facebook_page_reference,"covid_political,election2020,twibot20","covid_political,election2020,facebook_page_reference,twibot20",-0.005609999999999948
500,ukr_rus_suspended,twibot20,covid_political,"covid_political,twibot20",-0.009482000000000101
500,ukr_rus_suspended,twibot20,election2020,"election2020,twibot20",-0.040447999999999984
500,ukr_rus_suspended,twibot20,facebook_page_reference,"facebook_page_reference,twibot20",0.017490000000000006
500,ukr_rus_suspended,twibot20,"covid_political,election2020","covid_political,election2020,twibot20",0.002610000000000001
500,ukr_rus_suspended,twibot20,"covid_political,facebook_page_reference","covid_political,facebook_page_reference,twibot20",0.013849999999999973
500,ukr_rus_suspended,twibot20,"election2020,facebook_page_reference","election2020,facebook_page_reference,twibot20",-0.009507999999999961
500,ukr_rus_suspended,twibot20,"covid_political,election2020,facebook_page_reference","covid_political,election2020,facebook_page_reference,twibot20",-0.007176000000000016
500,twibot20,covid_political,election2020,"covid_political,election2020",-0.00937809722222227
500,twibot20,covid_political,facebook_page_reference,"covid_political,facebook_page_reference",0.11203933333333327
500,twibot20,covid_political,ukr_rus_suspended,"covid_political,ukr_rus_suspended",0.03545302777777781
500,twibot20,covid_political,"election2020,facebook_page_reference","covid_political,election2020,facebook_page_reference",0.09040436111111116
500,twibot20,covid_political,"election2020,ukr_rus_suspended","covid_political,election2020,ukr_rus_suspended",0.007236097222222293
500,twibot20,covid_political,"facebook_page_reference,ukr_rus_suspended","covid_political,facebook_page_reference,ukr_rus_suspended",0.11044483333333344
500,twibot20,covid_political,"election2020,facebook_page_reference,ukr_rus_suspended","covid_political,election2020,facebook_page_reference,ukr_rus_suspended",0.0893633055555556
500,twibot20,election2020,covid_political,"covid_political,election2020",0.08133516666666663
500,twibot20,election2020,facebook_page_reference,"election2020,facebook_page_reference",0.053282194444444375
500,twibot20,election2020,ukr_rus_suspended,"election2020,ukr_rus_suspended",0.07280304166666651
500,twibot20,election2020,"covid_political,facebook_page_reference","covid_political,election2020,facebook_page_reference",0.03164722222222227
500,twibot20,election2020,"covid_political,ukr_rus_suspended","covid_political,election2020,ukr_rus_suspended",0.04458611111111099
500,twibot20,election2020,"facebook_page_reference,ukr_rus_suspended","election2020,facebook_page_reference,ukr_rus_suspended",0.05899670833333337
500,twibot20,election2020,"covid_political,facebook_page_reference,ukr_rus_suspended","covid_political,election2020,facebook_page_reference,ukr_rus_suspended",0.03791518055555554
500,twibot20,facebook_page_reference,covid_political,"covid_political,facebook_page_reference",0.07195916666666669
500,twibot20,facebook_page_reference,election2020,"election2020,facebook_page_reference",-0.0775112361111111
500,twibot20,facebook_page_reference,ukr_rus_suspended,"facebook_page_reference,ukr_rus_suspended",-0.04956258333333341
500,twibot20,facebook_page_reference,"covid_political,election2020","covid_political,election2020,facebook_page_reference",0.02227122222222233
500,twibot20,facebook_page_reference,"covid_political,ukr_rus_suspended","covid_political,facebook_page_reference,ukr_rus_suspended",0.025429222222222214
500,twibot20,facebook_page_reference,"election2020,ukr_rus_suspended","election2020,facebook_page_reference,ukr_rus_suspended",-0.06336891666666655
500,twibot20,facebook_page_reference,"covid_political,election2020,ukr_rus_suspended","covid_political,election2020,facebook_page_reference,ukr_rus_suspended",0.01875829166666676
500,twibot20,ukr_rus_suspended,covid_political,"covid_political,ukr_rus_suspended",0.0661814305555557
500,twibot20,ukr_rus_suspended,election2020,"election2020,ukr_rus_suspended",0.012818180555555503
500,twibot20,ukr_rus_suspended,facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",0.02124598611111106
500,twibot20,ukr_rus_suspended,"covid_political,election2020","covid_political,election2020,ukr_rus_suspended",0.029432375000000066
500,twibot20,ukr_rus_suspended,"covid_political,facebook_page_reference","covid_political,facebook_page_reference,ukr_rus_suspended",0.019651486111111227
500,twibot20,ukr_rus_suspended,"election2020,facebook_page_reference","election2020,facebook_page_reference,ukr_rus_suspended",0.026960500000000054
500,twibot20,ukr_rus_suspended,"covid_political,election2020,facebook_page_reference","covid_political,election2020,facebook_page_reference,ukr_rus_suspended",0.025919444444444495
750,covid_political,election2020,facebook_page_reference,"election2020,facebook_page_reference",0.20577470370370365
750,covid_political,election2020,ukr_rus_suspended,"election2020,ukr_rus_suspended",0.025097296296296312
750,covid_political,election2020,twibot20,"election2020,twibot20",0.01564625925925911
750,covid_political,election2020,"facebook_page_reference,twibot20","election2020,facebook_page_reference,twibot20",-0.06021985185185197
750,covid_political,election2020,"facebook_page_reference,twibot20,ukr_rus_suspended","election2020,facebook_page_reference,twibot20,ukr_rus_suspended",-0.016655037037036968
750,covid_political,election2020,"twibot20,ukr_rus_suspended","election2020,twibot20,ukr_rus_suspended",-0.004606759259259241
750,covid_political,election2020,"facebook_page_reference,ukr_rus_suspended","election2020,facebook_page_reference,ukr_rus_suspended",0.009463462962962854
750,covid_political,facebook_page_reference,election2020,"election2020,facebook_page_reference",0.09801859259259249
750,covid_political,facebook_page_reference,ukr_rus_suspended,"facebook_page_reference,ukr_rus_suspended",0.041227055555555614
750,covid_political,facebook_page_reference,twibot20,"facebook_page_reference,twibot20",0.0013256666666666694
750,covid_political,facebook_page_reference,"election2020,twibot20,ukr_rus_suspended","election2020,facebook_page_reference,twibot20,ukr_rus_suspended",-0.008916203703703718
750,covid_political,facebook_page_reference,"election2020,ukr_rus_suspended","election2020,facebook_page_reference,ukr_rus_suspended",0.025593222222222156
750,covid_political,facebook_page_reference,"twibot20,ukr_rus_suspended","facebook_page_reference,twibot20,ukr_rus_suspended",0.0031320740740740094
750,covid_political,facebook_page_reference,"election2020,twibot20","election2020,facebook_page_reference,twibot20",-0.07454044444444441
750,covid_political,twibot20,election2020,"election2020,twibot20",0.1268715740740739
750,covid_political,twibot20,facebook_page_reference,"facebook_page_reference,twibot20",0.22030709259259262
750,covid_political,twibot20,ukr_rus_suspended,"twibot20,ukr_rus_suspended",0.08698566666666663
750,covid_political,twibot20,"election2020,facebook_page_reference","election2020,facebook_page_reference,twibot20",-0.045687462962963
750,covid_political,twibot20,"election2020,ukr_rus_suspended","election2020,twibot20,ukr_rus_suspended",0.057281611111111075
750,covid_political,twibot20,"election2020,facebook_page_reference,ukr_rus_suspended","election2020,facebook_page_reference,twibot20,ukr_rus_suspended",0.0227721851851852
750,covid_political,twibot20,"facebook_page_reference,ukr_rus_suspended","facebook_page_reference,twibot20,ukr_rus_suspended",0.04889068518518502
750,covid_political,ukr_rus_suspended,election2020,"election2020,ukr_rus_suspended",0.04546961111111103
750,covid_political,ukr_rus_suspended,facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",0.1693554814814815
750,covid_political,ukr_rus_suspended,twibot20,"twibot20,ukr_rus_suspended",-0.0038673333333334448
750,covid_political,ukr_rus_suspended,"election2020,facebook_page_reference,twibot20","election2020,facebook_page_reference,twibot20,ukr_rus_suspended",0.041503888888888896
750,covid_political,ukr_rus_suspended,"facebook_page_reference,twibot20","facebook_page_reference,twibot20,ukr_rus_suspended",-0.002060925925926105
750,covid_political,ukr_rus_suspended,"election2020,facebook_page_reference","election2020,facebook_page_reference,ukr_rus_suspended",-0.026955759259259304
750,covid_political,ukr_rus_suspended,"election2020,twibot20","election2020,twibot20,ukr_rus_suspended",-0.024120351851851796
750,election2020,covid_political,facebook_page_reference,"covid_political,facebook_page_reference",0.0006120000000000569
750,election2020,covid_political,ukr_rus_suspended,"covid_political,ukr_rus_suspended",-0.0018319999999999448
750,election2020,covid_political,"facebook_page_reference,ukr_rus_suspended","covid_political,facebook_page_reference,ukr_rus_suspended",0.0008620000000000294
750,election2020,covid_political,"twibot20,ukr_rus_suspended","covid_political,twibot20,ukr_rus_suspended",-1.599999999990498e-05
750,election2020,covid_political,"facebook_page_reference,twibot20,ukr_rus_suspended","covid_political,facebook_page_reference,twibot20,ukr_rus_suspended",-0.0027399999999998537
750,election2020,covid_political,"facebook_page_reference,twibot20","covid_political,facebook_page_reference,twibot20",9.199999999998099e-05
750,election2020,covid_political,twibot20,"covid_political,twibot20",-0.003097999999999934
750,election2020,facebook_page_reference,covid_political,"covid_political,facebook_page_reference",0.00040400000000007097
750,election2020,facebook_page_reference,ukr_rus_suspended,"facebook_page_reference,ukr_rus_suspended",-0.0028120000000000367
750,election2020,facebook_page_reference,"covid_political,ukr_rus_suspended","covid_political,facebook_page_reference,ukr_rus_suspended",-0.0001180000000000625
750,election2020,facebook_page_reference,"twibot20,ukr_rus_suspended","facebook_page_reference,twibot20,ukr_rus_suspended",0.0007280000000000619
750,election2020,facebook_page_reference,"covid_political,twibot20","covid_political,facebook_page_reference,twibot20",0.003261999999999987
750,election2020,facebook_page_reference,twibot20,"facebook_page_reference,twibot20",7.2000000000072e-05
750,election2020,facebook_page_reference,"covid_political,twibot20,ukr_rus_suspended","covid_political,facebook_page_reference,twibot20,ukr_rus_suspended",-0.0019959999999998868
750,election2020,twibot20,covid_political,"covid_political,twibot20",-0.0005340000000000344
750,election2020,twibot20,facebook_page_reference,"facebook_page_reference,twibot20",0.0028439999999999577
750,election2020,twibot20,ukr_rus_suspended,"twibot20,ukr_rus_suspended",0.0016119999999999468
750,election2020,twibot20,"facebook_page_reference,ukr_rus_suspended","facebook_page_reference,twibot20,ukr_rus_suspended",0.005152000000000045
750,election2020,twibot20,"covid_political,ukr_rus_suspended","covid_political,twibot20,ukr_rus_suspended",0.0034279999999999866
750,election2020,twibot20,"covid_political,facebook_page_reference","covid_political,facebook_page_reference,twibot20",0.0023239999999998817
750,election2020,twibot20,"covid_political,facebook_page_reference,ukr_rus_suspended","covid_political,facebook_page_reference,twibot20,ukr_rus_suspended",0.0015500000000001624
750,election2020,ukr_rus_suspended,covid_political,"covid_political,ukr_rus_suspended",0.0006479999999999819
750,election2020,ukr_rus_suspended,facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",-0.000124000000000124
750,election2020,ukr_rus_suspended,"covid_political,facebook_page_reference","covid_political,facebook_page_reference,ukr_rus_suspended",0.00012599999999984846
750,election2020,ukr_rus_suspended,"covid_political,twibot20","covid_political,twibot20,ukr_rus_suspended",0.004610000000000003
750,election2020,ukr_rus_suspended,"facebook_page_reference,twibot20","facebook_page_reference,twibot20,ukr_rus_suspended",0.0021839999999999637
750,election2020,ukr_rus_suspended,twibot20,"twibot20,ukr_rus_suspended",0.0015279999999999738
750,election2020,ukr_rus_suspended,"covid_political,facebook_page_reference,twibot20","covid_political,facebook_page_reference,twibot20,ukr_rus_suspended",-0.0006479999999998709
750,facebook_page_reference,covid_political,election2020,"covid_political,election2020",-0.001071500000000003
750,facebook_page_reference,covid_political,ukr_rus_suspended,"covid_political,ukr_rus_suspended",0.025960874999999883
750,facebook_page_reference,covid_political,twibot20,"covid_political,twibot20",-0.0015342499999999593
750,facebook_page_reference,covid_political,"election2020,ukr_rus_suspended","covid_political,election2020,ukr_rus_suspended",0.05379962500000002
750,facebook_page_reference,covid_political,"election2020,twibot20","covid_political,election2020,twibot20",-0.0059971250000000476
750,facebook_page_reference,covid_political,"twibot20,ukr_rus_suspended","covid_political,twibot20,ukr_rus_suspended",-0.0016215000000000535
750,facebook_page_reference,covid_political,"election2020,twibot20,ukr_rus_suspended","covid_political,election2020,twibot20,ukr_rus_suspended",0.006134374999999914
750,facebook_page_reference,election2020,covid_political,"covid_political,election2020",-0.018839250000000085
750,facebook_page_reference,election2020,ukr_rus_suspended,"election2020,ukr_rus_suspended",-0.018032125000000065
750,facebook_page_reference,election2020,twibot20,"election2020,twibot20",-0.00448224999999991
750,facebook_page_reference,election2020,"covid_political,ukr_rus_suspended","covid_political,election2020,ukr_rus_suspended",0.009806625000000069
750,facebook_page_reference,election2020,"covid_political,twibot20","covid_political,election2020,twibot20",-0.008945124999999998
750,facebook_page_reference,election2020,"twibot20,ukr_rus_suspended","election2020,twibot20,ukr_rus_suspended",-0.02897012500000007
750,facebook_page_reference,election2020,"covid_political,twibot20,ukr_rus_suspended","covid_political,election2020,twibot20,ukr_rus_suspended",-0.0212142500000001
750,facebook_page_reference,twibot20,covid_political,"covid_political,twibot20",0.04021699999999995
750,facebook_page_reference,twibot20,election2020,"election2020,twibot20",0.05503675000000008
750,facebook_page_reference,twibot20,ukr_rus_suspended,"twibot20,ukr_rus_suspended",0.09066775000000005
750,facebook_page_reference,twibot20,"covid_political,election2020","covid_political,election2020,twibot20",0.050111125000000034
750,facebook_page_reference,twibot20,"covid_political,ukr_rus_suspended","covid_political,twibot20,ukr_rus_suspended",0.06308537500000011
750,facebook_page_reference,twibot20,"election2020,ukr_rus_suspended","election2020,twibot20,ukr_rus_suspended",0.07972975000000004
750,facebook_page_reference,twibot20,"covid_political,election2020,ukr_rus_suspended","covid_political,election2020,twibot20,ukr_rus_suspended",0.03206449999999994
750,facebook_page_reference,ukr_rus_suspended,covid_political,"covid_political,ukr_rus_suspended",-0.03456075000000014
750,facebook_page_reference,ukr_rus_suspended,election2020,"election2020,ukr_rus_suspended",-0.06078600000000001
750,facebook_page_reference,ukr_rus_suspended,twibot20,"twibot20,ukr_rus_suspended",-0.011605124999999883
750,facebook_page_reference,ukr_rus_suspended,"covid_political,election2020","covid_political,election2020,ukr_rus_suspended",-0.005914874999999986
750,facebook_page_reference,ukr_rus_suspended,"covid_political,twibot20","covid_political,twibot20,ukr_rus_suspended",-0.011692374999999977
750,facebook_page_reference,ukr_rus_suspended,"election2020,twibot20","election2020,twibot20,ukr_rus_suspended",-0.03609300000000004
750,facebook_page_reference,ukr_rus_suspended,"covid_political,election2020,twibot20","covid_political,election2020,twibot20,ukr_rus_suspended",-0.02396150000000008
750,ukr_rus_suspended,covid_political,election2020,"covid_political,election2020",-0.006830000000000114
750,ukr_rus_suspended,covid_political,facebook_page_reference,"covid_political,facebook_page_reference",0.005830000000000002
750,ukr_rus_suspended,covid_political,twibot20,"covid_political,twibot20",0.00522800000000001
750,ukr_rus_suspended,covid_political,"election2020,facebook_page_reference,twibot20","covid_political,election2020,facebook_page_reference,twibot20",-0.0031779999999999586
750,ukr_rus_suspended,covid_political,"election2020,facebook_page_reference","covid_political,election2020,facebook_page_reference",-0.0008439999999999559
750,ukr_rus_suspended,covid_political,"facebook_page_reference,twibot20","covid_political,facebook_page_reference,twibot20",0.007259999999999989
750,ukr_rus_suspended,covid_political,"election2020,twibot20","covid_political,election2020,twibot20",-0.00470799999999999
750,ukr_rus_suspended,election2020,covid_political,"covid_political,election2020",0.013433999999999946
750,ukr_rus_suspended,election2020,facebook_page_reference,"election2020,facebook_page_reference",0.00038799999999999946
750,ukr_rus_suspended,election2020,twibot20,"election2020,twibot20",0.007116000000000011
750,ukr_rus_suspended,election2020,"covid_political,facebook_page_reference","covid_political,election2020,facebook_page_reference",-0.006285999999999958
750,ukr_rus_suspended,election2020,"covid_political,twibot20","covid_political,election2020,twibot20",-0.002819999999999989
750,ukr_rus_suspended,election2020,"covid_political,facebook_page_reference,twibot20","covid_political,election2020,facebook_page_reference,twibot20",0.0011260000000000159
750,ukr_rus_suspended,election2020,"facebook_page_reference,twibot20","election2020,facebook_page_reference,twibot20",0.011563999999999963
750,ukr_rus_suspended,facebook_page_reference,covid_political,"covid_political,facebook_page_reference",-0.003608
750,ukr_rus_suspended,facebook_page_reference,election2020,"election2020,facebook_page_reference",-0.029314000000000062
750,ukr_rus_suspended,facebook_page_reference,twibot20,"facebook_page_reference,twibot20",0.0031540000000000457
750,ukr_rus_suspended,facebook_page_reference,"covid_political,election2020","covid_political,election2020,facebook_page_reference",-0.023327999999999904
750,ukr_rus_suspended,facebook_page_reference,"covid_political,twibot20","covid_political,facebook_page_reference,twibot20",0.005186000000000024
750,ukr_rus_suspended,facebook_page_reference,"covid_political,election2020,twibot20","covid_political,election2020,facebook_page_reference,twibot20",0.009132000000000029
750,ukr_rus_suspended,facebook_page_reference,"election2020,twibot20","election2020,facebook_page_reference,twibot20",0.007601999999999998
750,ukr_rus_suspended,twibot20,covid_political,"covid_political,twibot20",-0.0014480000000000048
750,ukr_rus_suspended,twibot20,election2020,"election2020,twibot20",-0.019824000000000064
