from_step,to_step,target,model_id,endpoint,mixture_size,donors,roc_auc_delta,accuracy_delta,f1_delta
500,750,facebook_page_reference,labmix500_k1_bot,heldout,1,twibot20,-0.0008763749999999293,-0.0004999999999999449,-0.00273659861965847
500,750,facebook_page_reference,labmix500_k1_cp,heldout,1,covid_political,0.0018638750000000703,0.0022499999999999742,0.00270072293960244
500,750,facebook_page_reference,labmix500_k1_elec,heldout,1,election2020,0.03196549999999987,0.010000000000000009,0.006915745498855208
500,750,facebook_page_reference,labmix500_k1_fb,target_only,1,facebook_page_reference,-0.020842250000000062,-0.014250000000000096,-0.015132024175689818
500,750,facebook_page_reference,labmix500_k1_susp,heldout,1,ukr_rus_suspended,-0.008014999999999994,-0.010750000000000037,-0.013159723190637407
500,750,facebook_page_reference,labmix500_k2_cp-bot,heldout,2,"covid_political,twibot20",0.000895500000000049,0.0030000000000000027,0.010449944342660777
500,750,facebook_page_reference,labmix500_k2_cp-elec,heldout,2,"covid_political,election2020",0.02715587500000005,0.013499999999999956,0.018838818534558932
500,750,facebook_page_reference,labmix500_k2_cp-susp,heldout,2,"covid_political,ukr_rus_suspended",0.0505088749999999,0.03849999999999998,0.028185261844792087
500,750,facebook_page_reference,labmix500_k2_elec-bot,heldout,2,"election2020,twibot20",-0.003072374999999905,-0.002749999999999919,-0.005753520989879246
500,750,facebook_page_reference,labmix500_k2_elec-susp,heldout,2,"election2020,ukr_rus_suspended",0.022384624999999936,0.02200000000000002,0.01593005686110771
500,750,facebook_page_reference,labmix500_k2_susp-bot,heldout,2,"ukr_rus_suspended,twibot20",0.015814375000000047,-0.003750000000000031,-0.0024154726438738727
500,750,facebook_page_reference,labmix500_k3_cp-elec-bot,heldout,3,"covid_political,election2020,twibot20",0.002318750000000036,0.00275000000000003,-0.0019694441009270314
500,750,facebook_page_reference,labmix500_k3_cp-elec-susp,heldout,3,"covid_political,election2020,ukr_rus_suspended",0.03874087500000001,0.026249999999999996,0.02717491175559239
500,750,facebook_page_reference,labmix500_k3_cp-susp-bot,heldout,3,"covid_political,ukr_rus_suspended,twibot20",0.034619000000000066,0.025249999999999995,0.0205378693390601
500,750,facebook_page_reference,labmix500_k3_elec-susp-bot,heldout,3,"election2020,ukr_rus_suspended,twibot20",0.003498500000000071,-0.003249999999999975,-0.00184994735704902
500,750,facebook_page_reference,labmix500_k4_cp-elec-susp-bot,heldout,4,"covid_political,election2020,ukr_rus_suspended,twibot20",0.022293874999999908,0.021500000000000075,0.018019894332832465
500,750,facebook_page_reference,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",0.054647375000000054,0.03400000000000003,0.0309535733899996
500,750,twibot20,labmix500_k1_bot,target_only,1,twibot20,0.016237833333333285,0.0076666666666665995,0.00718269040690811
500,750,twibot20,labmix500_k1_cp,heldout,1,covid_political,-0.044633986111111135,-0.030749999999999944,-0.04983343109765742
500,750,twibot20,labmix500_k1_elec,heldout,1,election2020,-0.037166208333333284,-0.033333333333333326,-0.03885822427069907
500,750,twibot20,labmix500_k1_fb,heldout,1,facebook_page_reference,-0.02019870833333326,-0.015833333333333366,-0.018450648812566306
500,750,twibot20,labmix500_k1_susp,heldout,1,ukr_rus_suspended,0.013183680555555521,0.010583333333333278,0.020984312957837647
500,750,twibot20,labmix500_k2_cp-elec,heldout,2,"covid_political,election2020",-0.0619995694444444,-0.03183333333333327,-0.03313559752461914
500,750,twibot20,labmix500_k2_cp-fb,heldout,2,"covid_political,facebook_page_reference",-0.08817194444444443,-0.05166666666666675,-0.055690318927658855
500,750,twibot20,labmix500_k2_cp-susp,heldout,2,"covid_political,ukr_rus_suspended",0.008141027777777698,0.009416666666666629,-0.009420115479689795
500,750,twibot20,labmix500_k2_elec-fb,heldout,2,"election2020,facebook_page_reference",-0.004524222222222152,-0.003250000000000086,0.012161830232710669
500,750,twibot20,labmix500_k2_elec-susp,heldout,2,"election2020,ukr_rus_suspended",-0.05616241666666655,-0.04908333333333326,-0.04440362040859136
500,750,twibot20,labmix500_k2_fb-susp,heldout,2,"facebook_page_reference,ukr_rus_suspended",0.029837652777777834,0.029000000000000026,-0.009414048956383092
500,750,twibot20,labmix500_k3_cp-elec-fb,heldout,3,"covid_political,election2020,facebook_page_reference",-0.020953,-0.010500000000000065,-0.005521795453780509
500,750,twibot20,labmix500_k3_cp-elec-susp,heldout,3,"covid_political,election2020,ukr_rus_suspended",-0.02561887499999993,-0.01733333333333331,-0.011470222437374056
500,750,twibot20,labmix500_k3_cp-fb-susp,heldout,3,"covid_political,facebook_page_reference,ukr_rus_suspended",-0.04864212500000009,-0.04025000000000001,-0.058483301238705154
500,750,twibot20,labmix500_k3_elec-fb-susp,heldout,3,"election2020,facebook_page_reference,ukr_rus_suspended",-0.011207013888888895,-0.018833333333333258,-0.04003307476592166
500,750,twibot20,labmix500_k4_cp-elec-fb-susp,heldout,4,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended",-0.06310231944444455,-0.04966666666666664,-0.059215557964573784
500,750,twibot20,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",-0.01808675000000004,-0.01141666666666663,-0.02696346762539037
500,750,ukr_rus_suspended,labmix500_k1_bot,heldout,1,twibot20,-0.008575999999999917,-0.013000000000000012,-0.010209959123002599
500,750,ukr_rus_suspended,labmix500_k1_cp,heldout,1,covid_political,-0.012118000000000073,0.0040000000000000036,-0.000874684608915044
500,750,ukr_rus_suspended,labmix500_k1_elec,heldout,1,election2020,-0.005345999999999962,-0.03400000000000003,-0.036974244282519275
500,750,ukr_rus_suspended,labmix500_k1_fb,heldout,1,facebook_page_reference,-0.0040540000000000576,-0.0050000000000000044,0.007978771815216112
500,750,ukr_rus_suspended,labmix500_k1_susp,target_only,1,ukr_rus_suspended,0.011614000000000013,0.006000000000000005,0.00785085687818432
500,750,ukr_rus_suspended,labmix500_k2_cp-bot,heldout,2,"covid_political,twibot20",-0.0040839999999999765,-0.008000000000000007,-0.008064516129032251
500,750,ukr_rus_suspended,labmix500_k2_cp-elec,heldout,2,"covid_political,election2020",0.01644399999999996,0.015000000000000013,0.03202326601569483
500,750,ukr_rus_suspended,labmix500_k2_cp-fb,heldout,2,"covid_political,facebook_page_reference",0.011467999999999978,0.01200000000000001,0.007979105252707341
500,750,ukr_rus_suspended,labmix500_k2_elec-bot,heldout,2,"election2020,twibot20",0.015277999999999958,0.03300000000000003,0.024909393046198214
500,750,ukr_rus_suspended,labmix500_k2_elec-fb,heldout,2,"election2020,facebook_page_reference",-0.02014400000000005,-0.009000000000000008,0.004239833233226187
500,750,ukr_rus_suspended,labmix500_k2_fb-bot,heldout,2,"facebook_page_reference,twibot20",-0.01562800000000003,-0.008000000000000007,-0.01295844903377108
500,750,ukr_rus_suspended,labmix500_k3_cp-elec-bot,heldout,3,"covid_political,election2020,twibot20",-0.0038679999999999826,0.02200000000000002,0.013902439024390256
500,750,ukr_rus_suspended,labmix500_k3_cp-elec-fb,heldout,3,"covid_political,election2020,facebook_page_reference",-0.011060000000000014,-0.0010000000000000009,-0.014900910178117566
500,750,ukr_rus_suspended,labmix500_k3_cp-fb-bot,heldout,3,"covid_political,facebook_page_reference,twibot20",0.004964000000000024,-0.0010000000000000009,-0.006220878264011742
500,750,ukr_rus_suspended,labmix500_k3_elec-fb-bot,heldout,3,"election2020,facebook_page_reference,twibot20",0.006455999999999906,-0.0030000000000000027,0.006291174550418499
500,750,ukr_rus_suspended,labmix500_k4_cp-elec-fb-bot,heldout,4,"covid_political,election2020,facebook_page_reference,twibot20",0.010873999999999995,0.0020000000000000018,0.017962524102047073
500,750,ukr_rus_suspended,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",0.007020000000000026,0.010000000000000009,0.01755826992676912
750,1000,covid_political,labmix500_k1_bot,heldout,1,twibot20,0.0055247222222220005,-0.0060833333333333295,-0.0060017617835751436
750,1000,covid_political,labmix500_k1_cp,target_only,1,covid_political,0.0036042037037037344,-0.018750000000000044,-0.019744611565841064
750,1000,covid_political,labmix500_k1_elec,heldout,1,election2020,0.12045122222222204,0.17533333333333334,0.21525487362747409
750,1000,covid_political,labmix500_k1_fb,heldout,1,facebook_page_reference,-0.07264946296296304,-0.047583333333333366,-0.038717016159116435
750,1000,covid_political,labmix500_k1_susp,heldout,1,ukr_rus_suspended,-0.04468833333333333,-0.0369166666666666,-0.0341163815857255
750,1000,covid_political,labmix500_k2_elec-bot,heldout,2,"election2020,twibot20",-0.003423851851851789,0.00216666666666665,0.0005902490139405581
750,1000,covid_political,labmix500_k2_elec-fb,heldout,2,"election2020,facebook_page_reference",-0.07339979629629645,-0.09891666666666665,-0.11330990104190042
750,1000,covid_political,labmix500_k2_elec-susp,heldout,2,"election2020,ukr_rus_suspended",0.019045129629629565,-0.06674999999999998,-0.061072727485477096
750,1000,covid_political,labmix500_k2_fb-bot,heldout,2,"facebook_page_reference,twibot20",-0.03896140740740739,-0.0980833333333333,-0.09697173867087283
750,1000,covid_political,labmix500_k2_fb-susp,heldout,2,"facebook_page_reference,ukr_rus_suspended",-0.007931629629629677,-0.04525000000000001,-0.03376191075356083
750,1000,covid_political,labmix500_k2_susp-bot,heldout,2,"ukr_rus_suspended,twibot20",0.003734333333333506,0.004333333333333411,0.0071299445485004664
750,1000,covid_political,labmix500_k3_elec-fb-bot,heldout,3,"election2020,facebook_page_reference,twibot20",0.051364111111111166,0.06483333333333341,0.08691322369464693
750,1000,covid_political,labmix500_k3_elec-fb-susp,heldout,3,"election2020,facebook_page_reference,ukr_rus_suspended",-0.002929407407407325,0.00924999999999998,0.001376604466371667
750,1000,covid_political,labmix500_k3_elec-susp-bot,heldout,3,"election2020,ukr_rus_suspended,twibot20",-0.00023268518518515524,-0.016833333333333367,-0.01900842202863695
750,1000,covid_political,labmix500_k3_fb-susp-bot,heldout,3,"facebook_page_reference,ukr_rus_suspended,twibot20",-0.0044590740740739765,-0.027583333333333404,-0.03160585789624659
750,1000,covid_political,labmix500_k4_elec-fb-susp-bot,heldout,4,"election2020,facebook_page_reference,ukr_rus_suspended,twibot20",0.010800388888889012,-0.022333333333333316,-0.02420117096188923
750,1000,covid_political,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",-0.010105351851851796,-0.031000000000000028,-0.04361709538311098
750,1000,election2020,labmix500_k1_bot,heldout,1,twibot20,0.000356000000000134,-0.0020000000000000018,-0.0019409880805687507
750,1000,election2020,labmix500_k1_cp,heldout,1,covid_political,0.0001100000000000545,0.0010000000000000009,0.0010107445687228545
750,1000,election2020,labmix500_k1_elec,target_only,1,election2020,0.000184000000000073,-0.0050000000000000044,-0.00478927203065127
750,1000,election2020,labmix500_k1_fb,heldout,1,facebook_page_reference,-0.0018440000000000678,0.0010000000000000009,0.0010122611092758804
750,1000,election2020,labmix500_k1_susp,heldout,1,ukr_rus_suspended,-0.0046720000000001205,0.020999999999999908,0.018734143922499058
750,1000,election2020,labmix500_k2_cp-bot,heldout,2,"covid_political,twibot20",0.002405999999999908,0.0,0.0
750,1000,election2020,labmix500_k2_cp-fb,heldout,2,"covid_political,facebook_page_reference",0.00013199999999979894,0.0,0.0
750,1000,election2020,labmix500_k2_cp-susp,heldout,2,"covid_political,ukr_rus_suspended",-0.00042399999999997995,-0.0020000000000000018,-0.0019486980630137873
750,1000,election2020,labmix500_k2_fb-bot,heldout,2,"facebook_page_reference,twibot20",0.0010280000000000289,0.0,0.0
750,1000,election2020,labmix500_k2_fb-susp,heldout,2,"facebook_page_reference,ukr_rus_suspended",0.0007960000000001299,-0.0010000000000000009,-0.0009487647849178993
750,1000,election2020,labmix500_k2_susp-bot,heldout,2,"ukr_rus_suspended,twibot20",-0.0013599999999999168,-0.0010000000000000009,-0.0009733824154041226
750,1000,election2020,labmix500_k3_cp-fb-bot,heldout,3,"covid_political,facebook_page_reference,twibot20",0.00048400000000003995,0.0010000000000000009,0.0009714549254727922
750,1000,election2020,labmix500_k3_cp-fb-susp,heldout,3,"covid_political,facebook_page_reference,ukr_rus_suspended",0.0008099999999999774,0.0010000000000000009,0.0010108169256556332
750,1000,election2020,labmix500_k3_cp-susp-bot,heldout,3,"covid_political,ukr_rus_suspended,twibot20",-0.0009400000000001629,0.0010000000000000009,0.0009714549254727922
750,1000,election2020,labmix500_k3_fb-susp-bot,heldout,3,"facebook_page_reference,ukr_rus_suspended,twibot20",-0.0010099999999998444,0.0,0.0
750,1000,election2020,labmix500_k4_cp-fb-susp-bot,heldout,4,"covid_political,facebook_page_reference,ukr_rus_suspended,twibot20",-0.0020620000000002303,0.0020000000000000018,0.0019448373408769148
750,1000,election2020,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",-0.0006159999999999499,-0.0020000000000000018,-0.0019486980630137873
750,1000,facebook_page_reference,labmix500_k1_bot,heldout,1,twibot20,0.024253250000000004,0.012249999999999983,0.014386539438766888
750,1000,facebook_page_reference,labmix500_k1_cp,heldout,1,covid_political,-0.013460000000000139,-0.009000000000000008,-0.006670366710336051
750,1000,facebook_page_reference,labmix500_k1_elec,heldout,1,election2020,0.0007209999999999717,0.013249999999999984,0.010365320936653988
750,1000,facebook_page_reference,labmix500_k1_fb,target_only,1,facebook_page_reference,0.008764374999999935,-0.0039999999999998925,-0.0017771481515446164
750,1000,facebook_page_reference,labmix500_k1_susp,heldout,1,ukr_rus_suspended,-0.022564125000000046,-0.01375000000000004,-0.015245394013131297
750,1000,facebook_page_reference,labmix500_k2_cp-bot,heldout,2,"covid_political,twibot20",0.021134499999999945,0.02024999999999999,0.01599996561180894
750,1000,facebook_page_reference,labmix500_k2_cp-elec,heldout,2,"covid_political,election2020",0.01855725000000008,0.011750000000000038,0.010144097351938441
750,1000,facebook_page_reference,labmix500_k2_cp-susp,heldout,2,"covid_political,ukr_rus_suspended",-0.014685249999999872,-0.020499999999999963,-0.016949041372351092
750,1000,facebook_page_reference,labmix500_k2_elec-bot,heldout,2,"election2020,twibot20",0.006200624999999849,0.004749999999999921,0.004333327292624922
750,1000,facebook_page_reference,labmix500_k2_elec-susp,heldout,2,"election2020,ukr_rus_suspended",0.0474325000000001,0.01924999999999999,0.02243782102257097
750,1000,facebook_page_reference,labmix500_k2_susp-bot,heldout,2,"ukr_rus_suspended,twibot20",0.02658962499999995,0.031000000000000028,0.030251508167403407
750,1000,facebook_page_reference,labmix500_k3_cp-elec-bot,heldout,3,"covid_political,election2020,twibot20",-0.009241124999999961,-0.005249999999999977,-0.004094436052471062
750,1000,facebook_page_reference,labmix500_k3_cp-elec-susp,heldout,3,"covid_political,election2020,ukr_rus_suspended",0.009052750000000054,0.008499999999999952,0.009069027613176406
750,1000,facebook_page_reference,labmix500_k3_cp-susp-bot,heldout,3,"covid_political,ukr_rus_suspended,twibot20",-0.010745875000000127,-0.012249999999999983,-0.008193878408797262
750,1000,facebook_page_reference,labmix500_k3_elec-susp-bot,heldout,3,"election2020,ukr_rus_suspended,twibot20",-0.009325999999999834,-0.004750000000000032,-0.0027669267138943354
750,1000,facebook_page_reference,labmix500_k4_cp-elec-susp-bot,heldout,4,"covid_political,election2020,ukr_rus_suspended,twibot20",0.0016433750000000025,-0.005250000000000088,-0.006842039490127516
750,1000,facebook_page_reference,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",-0.0140047499999999,0.004749999999999921,0.006647526825812489
750,1000,twibot20,labmix500_k1_bot,target_only,1,twibot20,-0.013510972222222195,-0.012416666666666631,-8.905842848072609e-05
750,1000,twibot20,labmix500_k1_cp,heldout,1,covid_political,-0.012950291666666613,-0.012666666666666715,-0.0010432484886869764
750,1000,twibot20,labmix500_k1_elec,heldout,1,election2020,0.008937527777777787,0.0011666666666666492,-0.030767864421152313
750,1000,twibot20,labmix500_k1_fb,heldout,1,facebook_page_reference,0.0007938055555554158,-0.0005833333333332691,-0.009197388404731721
750,1000,twibot20,labmix500_k1_susp,heldout,1,ukr_rus_suspended,0.014250555555555544,0.010750000000000037,0.026920701989532447
750,1000,twibot20,labmix500_k2_cp-elec,heldout,2,"covid_political,election2020",-0.05319968055555546,-0.042583333333333306,0.0013952407996131733
750,1000,twibot20,labmix500_k2_cp-fb,heldout,2,"covid_political,facebook_page_reference",-0.007496986111111048,-0.011083333333333334,-0.010733797864277417
750,1000,twibot20,labmix500_k2_cp-susp,heldout,2,"covid_political,ukr_rus_suspended",-0.0013315555555556413,0.0017500000000000293,-0.022545171332622016
750,1000,twibot20,labmix500_k2_elec-fb,heldout,2,"election2020,facebook_page_reference",-0.05935508333333339,-0.039833333333333276,-0.04488285337510867
750,1000,twibot20,labmix500_k2_elec-susp,heldout,2,"election2020,ukr_rus_suspended",-0.021757930555555638,-0.012500000000000067,-0.02393419773796368
750,1000,twibot20,labmix500_k2_fb-susp,heldout,2,"facebook_page_reference,ukr_rus_suspended",-0.0039515138888889245,-0.0016666666666665941,0.003720622588260225
750,1000,twibot20,labmix500_k3_cp-elec-fb,heldout,3,"covid_political,election2020,facebook_page_reference",-0.09629516666666671,-0.0708333333333333,-0.06373930803227235
750,1000,twibot20,labmix500_k3_cp-elec-susp,heldout,3,"covid_political,election2020,ukr_rus_suspended",-0.01737158333333333,-0.0192500000000001,-0.024446968567468308
750,1000,twibot20,labmix500_k3_cp-fb-susp,heldout,3,"covid_political,facebook_page_reference,ukr_rus_suspended",-0.0005070277777776688,-0.0035833333333333828,-0.0017323429067842566
750,1000,twibot20,labmix500_k3_elec-fb-susp,heldout,3,"election2020,facebook_page_reference,ukr_rus_suspended",-0.03727741666666662,-0.025083333333333346,0.009185155073700213
750,1000,twibot20,labmix500_k4_cp-elec-fb-susp,heldout,4,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended",0.014601055555555686,0.006000000000000005,0.03667515820527589
750,1000,twibot20,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",0.019924875000000064,0.014916666666666578,0.027166587049141433
750,1000,ukr_rus_suspended,labmix500_k1_bot,heldout,1,twibot20,-0.01482599999999995,-0.006000000000000005,-0.004824302377085421
750,1000,ukr_rus_suspended,labmix500_k1_cp,heldout,1,covid_political,0.008206000000000047,-0.0020000000000000018,0.0018741362456601296
750,1000,ukr_rus_suspended,labmix500_k1_elec,heldout,1,election2020,-0.00917800000000002,0.015000000000000013,-0.0039595294630032085
750,1000,ukr_rus_suspended,labmix500_k1_fb,heldout,1,facebook_page_reference,0.0014680000000000248,0.008000000000000007,0.008946295652927039
750,1000,ukr_rus_suspended,labmix500_k1_susp,target_only,1,ukr_rus_suspended,-0.014191999999999982,-0.032999999999999974,-0.02372227579556413
750,1000,ukr_rus_suspended,labmix500_k2_cp-bot,heldout,2,"covid_political,twibot20",-0.007283999999999902,-0.02200000000000002,-0.006730951328830281
750,1000,ukr_rus_suspended,labmix500_k2_cp-elec,heldout,2,"covid_political,election2020",0.003566000000000069,0.014000000000000012,0.021347385723609502
750,1000,ukr_rus_suspended,labmix500_k2_cp-fb,heldout,2,"covid_political,facebook_page_reference",-0.00017599999999995397,-0.0050000000000000044,0.0075987841945288626
750,1000,ukr_rus_suspended,labmix500_k2_elec-bot,heldout,2,"election2020,twibot20",0.002980000000000038,-0.013000000000000012,-0.006586381991321111
750,1000,ukr_rus_suspended,labmix500_k2_elec-fb,heldout,2,"election2020,facebook_page_reference",-0.016079999999999983,-0.028000000000000025,-0.04406816776205791
750,1000,ukr_rus_suspended,labmix500_k2_fb-bot,heldout,2,"facebook_page_reference,twibot20",-0.017265999999999948,-0.0030000000000000027,-0.003514536580668859
750,1000,ukr_rus_suspended,labmix500_k3_cp-elec-bot,heldout,3,"covid_political,election2020,twibot20",0.00384000000000001,-0.010000000000000009,0.004121276390629536
750,1000,ukr_rus_suspended,labmix500_k3_cp-elec-fb,heldout,3,"covid_political,election2020,facebook_page_reference",-0.008902000000000077,-0.014000000000000012,0.002477945468870535
750,1000,ukr_rus_suspended,labmix500_k3_cp-fb-bot,heldout,3,"covid_political,facebook_page_reference,twibot20",0.006558000000000064,0.01100000000000001,0.007457948628612376
750,1000,ukr_rus_suspended,labmix500_k3_elec-fb-bot,heldout,3,"election2020,facebook_page_reference,twibot20",0.003940000000000055,0.006000000000000005,-0.003772557368121432
750,1000,ukr_rus_suspended,labmix500_k4_cp-elec-fb-bot,heldout,4,"covid_political,election2020,facebook_page_reference,twibot20",0.0019020000000000148,0.010000000000000009,-0.001829189822159849
750,1000,ukr_rus_suspended,labmix500_k5_all,all_five,5,"covid_political,election2020,facebook_page_reference,ukr_rus_suspended,twibot20",-0.013705999999999996,-0.01599999999999996,-0.01820163410675124
