target,method,n,best_model_from_discovery,uses_validation_query_labels,accuracy,auc,nll,accuracy_gain_over_fixed_best,episode_bootstrap_gain_ci_low,episode_bootstrap_gain_ci_high,fraction_not_best,selection_counts
facebook_page_reference,fixed_best,1024,ss_twibot20,False,0.6806640625,0.7541389465332031,0.5785336279621026,0.0,0.0,0.0,0.0,"{""ss_twibot20"": 1024}"
facebook_page_reference,u1_agreement,1024,ss_twibot20,False,0.71484375,0.7781867980957031,0.5596220489928698,0.0341796875,0.0185546875,0.05078125,0.1259765625,"{""ss_covid"": 20, ""ss_covid_political"": 1, ""ss_midterm"": 6, ""ss_twibot20"": 895, ""ss_ukr_rus"": 102}"
facebook_page_reference,raw_agreement,1024,ss_twibot20,False,0.833984375,0.8672866821289062,0.4834853712322482,0.1533203125,0.12109375,0.1865234375,0.2900390625,"{""ss_covid"": 47, ""ss_covid_political"": 19, ""ss_cp_hk"": 4, ""ss_election2020"": 6, ""ss_facebook_page_reference"": 19, ""ss_midterm"": 66, ""ss_twibot20"": 727, ""ss_ukr_rus"": 136}"
facebook_page_reference,learned_stage_consensus,1024,ss_twibot20,False,0.72265625,0.7731361389160156,0.5647385200375508,0.0419921875,0.025390625,0.0595703125,0.1416015625,"{""ss_covid"": 22, ""ss_covid_political"": 1, ""ss_facebook_page_reference"": 1, ""ss_midterm"": 7, ""ss_twibot20"": 879, ""ss_ukr_rus"": 114}"
facebook_page_reference,oracle_expert,1024,ss_twibot20,True,0.9951171875,0.99517822265625,0.37855768185679334,0.314453125,0.28125,0.3486328125,0.314453125,"{""ss_covid"": 48, ""ss_covid_political"": 18, ""ss_cp_hk"": 3, ""ss_election2020"": 9, ""ss_facebook_page_reference"": 32, ""ss_midterm"": 65, ""ss_twibot20"": 702, ""ss_ukr_rus"": 146, ""ss_ukr_rus_suspended"": 1}"
twibot20,fixed_best,3072,ss_ukr_rus,False,0.5856119791666666,0.6151559617784288,0.6757695281555586,0.0,0.0,0.0,0.0,"{""ss_ukr_rus"": 3072}"
twibot20,u1_agreement,3072,ss_ukr_rus,False,0.6324869791666666,0.6430288950602214,0.6653674986444557,0.046875,0.034830729166666664,0.059244791666666664,0.18717447916666666,"{""ss_covid"": 9, ""ss_covid_political"": 2, ""ss_cp_hk"": 3, ""ss_election2020"": 419, ""ss_midterm"": 4, ""ss_twibot20"": 114, ""ss_ukr_rus"": 2497, ""ss_ukr_rus_suspended"": 24}"
twibot20,raw_agreement,3072,ss_ukr_rus,False,0.5403645833333334,0.5844061109754775,0.6848001578041498,-0.04524739583333326,-0.06575520833333333,-0.0244140625,0.3968098958333333,"{""ss_covid"": 67, ""ss_covid_political"": 54, ""ss_cp_hk"": 61, ""ss_election2020"": 574, ""ss_facebook_page_reference"": 31, ""ss_midterm"": 70, ""ss_twibot20"": 213, ""ss_ukr_rus"": 1853, ""ss_ukr_rus_suspended"": 149}"
twibot20,learned_stage_consensus,3072,ss_ukr_rus,False,0.6178385416666666,0.631573994954427,0.6704097089004138,0.0322265625,0.020833333333333332,0.043619791666666664,0.18424479166666666,"{""ss_covid"": 8, ""ss_covid_political"": 1, ""ss_cp_hk"": 3, ""ss_election2020"": 377, ""ss_midterm"": 3, ""ss_twibot20"": 136, ""ss_ukr_rus"": 2506, ""ss_ukr_rus_suspended"": 38}"
twibot20,oracle_expert,3072,ss_ukr_rus,True,0.9713541666666666,0.9599444071451823,0.5540611148677613,0.3857421875,0.3675130208333333,0.404296875,0.3857421875,"{""ss_covid"": 40, ""ss_covid_political"": 51, ""ss_cp_hk"": 47, ""ss_election2020"": 687, ""ss_facebook_page_reference"": 22, ""ss_midterm"": 32, ""ss_twibot20"": 169, ""ss_ukr_rus"": 1887, ""ss_ukr_rus_suspended"": 137}"
ukr_rus_suspended,fixed_best,256,ss_covid_political,False,0.53125,0.5057373046875,0.6935544754618368,0.0,0.0,0.0,0.0,"{""ss_covid_political"": 256}"
ukr_rus_suspended,u1_agreement,256,ss_covid_political,False,0.5625,0.5479736328125,0.6916504059745932,0.03125,-0.015625,0.078125,0.32421875,"{""ss_covid"": 3, ""ss_covid_political"": 173, ""ss_midterm"": 53, ""ss_twibot20"": 22, ""ss_ukr_rus"": 5}"
ukr_rus_suspended,raw_agreement,256,ss_covid_political,False,0.5546875,0.53826904296875,0.6924270410394928,0.0234375,-0.05859375,0.10546875,0.3828125,"{""ss_covid"": 4, ""ss_covid_political"": 158, ""ss_election2020"": 7, ""ss_facebook_page_reference"": 1, ""ss_midterm"": 54, ""ss_twibot20"": 18, ""ss_ukr_rus"": 12, ""ss_ukr_rus_suspended"": 2}"
ukr_rus_suspended,learned_stage_consensus,256,ss_covid_political,False,0.55078125,0.514404296875,0.6936665396866025,0.01953125,-0.03125,0.0703125,0.36328125,"{""ss_covid_political"": 163, ""ss_election2020"": 2, ""ss_facebook_page_reference"": 1, ""ss_midterm"": 65, ""ss_twibot20"": 20, ""ss_ukr_rus"": 5}"
ukr_rus_suspended,oracle_expert,256,ss_covid_political,True,0.98046875,0.9793701171875,0.6807241937933968,0.44921875,0.38671875,0.51171875,0.44921875,"{""ss_covid"": 6, ""ss_covid_political"": 141, ""ss_cp_hk"": 3, ""ss_election2020"": 10, ""ss_facebook_page_reference"": 2, ""ss_midterm"": 49, ""ss_twibot20"": 25, ""ss_ukr_rus"": 14, ""ss_ukr_rus_suspended"": 6}"
